Sample	Raw_Reads	Raw_Bases	Trimmed_Bases	Mapped_Reads_BWA	Percentage_Mapped_Reads_BWA	Mapped_Reads_Post_BWA_BBMAP	Mapped_Percentage_Post_BWA_BBMAP	Mosdepth_Avg_Depth	Prop_g_cov_1	Prop_g_cov_2	Prop_g_cov_3	Prop_g_cov_4
ERR9709202	101897052	15386454852	0	73386715	72.02	55490235	54.46	12.25	93.19	90.21	87.87	85.74
ERR9709203	58650626	8856244526	0	38927384	66.37	36093693	61.54	7.89	92.13	87.32	82.98	78.21
ERR9709204	94389980	14252886980	0	65602092	69.50	45886909	48.61	9.94	91.89	88.38	85.34	81.89
ERR9709206	78238606	11814029506	0	56821174	72.63	43350917	55.41	9.46	92.59	88.76	85.49	82.07
ERR9709208	87193682	13166245982	0	60817131	69.75	45043612	51.66	9.80	92.16	88.69	85.77	82.64
ERR9709209	142926556	21581909956	0	103633364	72.51	77296679	54.08	16.99	94.32	91.74	89.77	88.16
ERR9709210	118524176	17897150576	0	85274163	71.95	60363965	50.93	13.10	93.17	90.27	88.08	86.14
ERR9709211	108455454	16376773554	0	72912470	67.23	51171915	47.18	10.89	92.28	88.98	86.39	83.84
ERR9709212	103852494	15681726594	0	75840702	73.03	57469559	55.34	12.67	93.37	90.46	88.19	86.16
ERR9709213	135700208	20490731408	0	95830294	70.62	63386630	46.71	13.56	93.28	90.28	88.09	86.23
ERR9709214	104645388	15801453588	0	75205256	71.87	53994036	51.60	11.71	93.34	90.12	87.62	85.32
ERR9709215	98965386	14943773286	0	70601551	71.34	51371071	51.91	11.06	92.63	89.26	86.57	83.92
ERR9709216	112944988	17054693188	0	83530462	73.96	69559374	61.59	15.49	93.82	91.19	89.09	87.25
ERR9709217	114902506	17350278406	0	84663223	73.68	67629595	58.86	15.01	94.21	91.48	89.34	87.52
ERR9709218	100003852	15100581652	0	73686265	73.68	60005441	60.00	13.32	93.67	90.74	88.43	86.40
ERR9709220	76227534	11510357634	0	56528755	74.16	46747550	61.33	10.44	92.74	89.45	86.63	83.81
ERR9709221	141145240	21312931240	0	102505485	72.62	84184554	59.64	18.85	94.54	92.27	90.44	88.87
ERR9709222	117384448	17725051648	0	81426115	69.37	58279171	49.65	12.55	93.74	90.68	88.30	86.16
ERR9709223	121201312	18301398112	0	76761638	63.33	52939680	43.68	11.00	92.10	88.66	85.77	82.62
ERR9709224	100370374	15155926474	0	72246684	71.98	56581641	56.37	12.51	93.30	90.34	88.02	85.91
ERR9709225	140166492	21165140292	0	98510990	70.28	78865652	56.27	17.49	94.46	92.11	90.24	88.64
ERR9709226	102314914	15449552014	0	75588763	73.88	61997628	60.59	13.86	93.61	90.87	88.68	86.75
ERR9709227	106375466	16062695366	0	77622365	72.97	61765505	58.06	13.71	93.53	90.77	88.59	86.68
ERR9709228	95388348	14403640548	0	70545567	73.96	58532315	61.36	12.99	93.81	90.92	88.61	86.51
ERR9709229	91631702	13836387002	0	66000151	72.03	53640295	58.54	11.78	94.18	90.89	88.24	85.83
ERR9709230	147184690	22224888190	0	107016898	72.71	15306400	10.40	18.26	20.75	17.52	16.54	16.05
ERR9709231	120276270	18161716770	0	88957872	73.96	74280609	61.76	16.69	94.45	91.90	89.91	88.23
ERR9709234	105877704	15987533304	0	77803063	73.48	39462302	37.27	8.79	92.69	88.83	85.37	81.60
ERR9709235	106429122	16070797422	0	78860899	74.10	64904087	60.98	14.50	93.95	91.36	89.28	87.46
ERR9709236	86071244	12996757844	0	62743558	72.90	51188211	59.47	11.43	93.24	90.13	87.62	85.23
ERR9709238	107269280	16197661280	0	78751660	73.41	65218610	60.80	14.41	94.29	91.44	89.21	87.30
ERR9709240	115068048	17375275248	0	83963081	72.97	65275597	56.73	14.46	93.37	90.61	88.49	86.68
ERR9709241	97602792	14738021592	0	71277412	73.03	60039674	61.51	13.42	94.06	91.16	88.88	86.86
ERR9709242	119951934	18112742034	0	89247460	74.40	73240127	61.06	16.35	94.01	91.48	89.48	87.74
ERR9709243	117260454	17706328554	0	86300558	73.60	71299743	60.80	15.94	94.16	91.64	89.64	87.91
ERR9709244	122581166	18509756066	0	89486459	73.00	66150349	53.96	14.37	93.61	90.80	88.68	86.88
ERR9709245	101390366	15309945266	0	73157436	72.15	54654170	53.90	11.85	92.92	89.91	87.56	85.38
ERR9709246	163349488	24665772688	0	118017559	72.25	83896616	51.36	18.37	94.06	91.60	89.74	88.23
ERR9709247	104300662	15749399962	0	71666970	68.71	48006529	46.03	10.04	91.88	88.36	85.43	82.22
ERR9709248	125165810	18900037310	0	93821397	74.96	75965192	60.69	16.80	94.35	91.65	89.57	87.83
ERR9709249	102840440	15528906440	0	72802698	70.79	52246129	50.80	11.28	92.57	89.37	86.86	84.44
ERR9709251	79504388	12005162588	0	54234247	68.22	37291886	46.91	7.56	90.30	85.62	80.53	74.01
ERR9709252	121344850	18323072350	0	85361360	70.35	61793310	50.92	13.38	93.83	90.78	88.45	86.42
ERR9709253	86974942	13133216242	0	62510006	71.87	48323861	55.56	10.60	93.10	89.73	86.98	84.29
