sample	colony	pop
unclassified-seq_SRR5221634	3870	BM
unclassified-seq_SRR5221635	3870	BM
unclassified-seq_SRR5221636	3870	BM
unclassified-seq_SRR5221637	3867	BM
unclassified-seq_SRR5221638	3867	BM
unclassified-seq_SRR5221639	3867	BM
unclassified-seq_SRR5221640	3862	BM
unclassified-seq_SRR5221641	3862	BM
unclassified-seq_SRR5221642	3862	BM
unclassified-seq_SRR5221643	3862	BM
unclassified-seq_SRR5221644	3858	BM
unclassified-seq_SRR5221645	3858	BM
unclassified-seq_SRR5221646	3841	BM
unclassified-seq_SRR5221647	3841	BM
unclassified-seq_SRR5221648	3841	BM
unclassified-seq_SRR5221649	3828	BM
unclassified-seq_SRR5221650	3828	BM
unclassified-seq_SRR5221651	3828	BM
unclassified-seq_SRR5221652	3824	BM
unclassified-seq_SRR5221653	3824	BM
unclassified-seq_SRR5221654	3824	BM
unclassified-seq_SRR5221655	3822	BM
unclassified-seq_SRR5221656	3822	BM
unclassified-seq_SRR5221657	3822	BM
unclassified-seq_SRR5221658	3803	BM
unclassified-seq_SRR5221659	3803	BM
unclassified-seq_SRR5221660	3803	BM
unclassified-seq_SRR5221661	3800	BM
unclassified-seq_SRR5221662	3800	BM
unclassified-seq_SRR5221663	3800	BM
unclassified-seq_SRR5221664	3780	BM
unclassified-seq_SRR5221665	3780	BM
unclassified-seq_SRR5221666	3780	BM
unclassified-seq_SRR5221670	3525	FAS
unclassified-seq_SRR5221671	3525	FAS
unclassified-seq_SRR5221672	3525	FAS
unclassified-seq_SRR5221673	3523	FAS
unclassified-seq_SRR5221674	3523	FAS
unclassified-seq_SRR5221675	3523	FAS
unclassified-seq_SRR5221676	3522	FAS
unclassified-seq_SRR5221677	3522	FAS
unclassified-seq_SRR5221678	3522	FAS
unclassified-seq_SRR5221679	3521	FAS
unclassified-seq_SRR5221680	3521	FAS
unclassified-seq_SRR5221681	3521	FAS
unclassified-seq_SRR5221682	3521	FAS
unclassified-seq_SRR5221683	3520	FAS
unclassified-seq_SRR5221684	3520	FAS
unclassified-seq_SRR5221685	3520	FAS
unclassified-seq_SRR5221686	3519	FAS
unclassified-seq_SRR5221687	3519	FAS
unclassified-seq_SRR5221688	3519	FAS
unclassified-seq_SRR5221689	3518	FAS
unclassified-seq_SRR5221690	3518	FAS
unclassified-seq_SRR5221691	3518	FAS
unclassified-seq_SRR5221692	3517	FAS
unclassified-seq_SRR5221693	3517	FAS
unclassified-seq_SRR5221694	3517	FAS
unclassified-seq_SRR5221695	3516	FAS
unclassified-seq_SRR5221696	3516	FAS
unclassified-seq_SRR5221697	3516	FAS
unclassified-seq_SRR5221698	3510	FAS
unclassified-seq_SRR5221699	3510	FAS
unclassified-seq_SRR5221700	3510	FAS
unclassified-seq_SRR5221701	3508	FAS
unclassified-seq_SRR5221702	3508	FAS
unclassified-seq_SRR5221703	3508	FAS
unclassified-seq_SRR5221704	3507	FAS
unclassified-seq_SRR5221705	3507	FAS
unclassified-seq_SRR5221706	3507	FAS
unclassified-seq_SRR5221713	3498	FAS
unclassified-seq_SRR5221714	3498	FAS
unclassified-seq_SRR5221715	3498	FAS
unclassified-seq_SRR5221716	3175	MAS
unclassified-seq_SRR5221717	3175	MAS
unclassified-seq_SRR5221718	3175	MAS
unclassified-seq_SRR5221719	3173	MAS
unclassified-seq_SRR5221720	3173	MAS
unclassified-seq_SRR5221721	3173	MAS
unclassified-seq_SRR5221722	3172	MAS
unclassified-seq_SRR5221723	3172	MAS
unclassified-seq_SRR5221724	3172	MAS
unclassified-seq_SRR5221725	3169	MAS
unclassified-seq_SRR5221726	3169	MAS
unclassified-seq_SRR5221727	3169	MAS
unclassified-seq_SRR5221728	3169	MAS
unclassified-seq_SRR5221729	3165	MAS
unclassified-seq_SRR5221730	3165	MAS
unclassified-seq_SRR5221731	3165	MAS
unclassified-seq_SRR5221732	3164	MAS
unclassified-seq_SRR5221733	3164	MAS
unclassified-seq_SRR5221734	3164	MAS
unclassified-seq_SRR5221735	3163	MAS
unclassified-seq_SRR5221736	3163	MAS
unclassified-seq_SRR5221737	3163	MAS
unclassified-seq_SRR5221738	3162	MAS
unclassified-seq_SRR5221739	3162	MAS
unclassified-seq_SRR5221740	3162	MAS
unclassified-seq_SRR5221741	3160	MAS
unclassified-seq_SRR5221742	3160	MAS
unclassified-seq_SRR5221743	3160	MAS
unclassified-seq_SRR5221744	3156	MAS
unclassified-seq_SRR5221745	3156	MAS
unclassified-seq_SRR5221746	3156	MAS
unclassified-seq_SRR5221747	3155	MAS
unclassified-seq_SRR5221748	3155	MAS
unclassified-seq_SRR5221749	3155	MAS
unclassified-seq_SRR5221750	3154	MAS
unclassified-seq_SRR5221751	3154	MAS
unclassified-seq_SRR5221752	3154	MAS
unclassified-seq_SRR5221753	3152	MAS
unclassified-seq_SRR5221754	3152	MAS
unclassified-seq_SRR5221755	3152	MAS
unclassified-seq_SRR5221756	3145	MAS
unclassified-seq_SRR5221757	3145	MAS
unclassified-seq_SRR5221758	3145	MAS
