"individual","population","dist_1","dist_2","dist_3","dist_4"
"ERR9709202","KARM",7.80632863333998e-05,-0.000794683382301167,-0.00197615732532586,-0.000778422400395568
"ERR9709203","KARM",-6.38293242428661e-05,-1.06848782827423e-05,-0.000169427711885242,-1.39790111093681e-05
"ERR9709204","KARM",-0.0011848322461227,0.000307451161628574,-0.000875908911034052,0.000231416063143385
"ERR9709206","MORE",-0.000402496234894506,-1.24306128077765e-05,-0.0012312539767912,-0.00052658467224399
"ERR9709208","MORE",-0.000710948980348926,0.000430100896002859,-0.00113448316520526,-8.61913108095673e-05
"ERR9709209","RISO",0.000210898077207299,-0.00124743135149315,0.000547930961954278,0.000328465716308014
"ERR9709210","RISO",-0.000388259236295018,-0.000113189657471462,-0.00119140413826535,-0.000439033527095989
"ERR9709211","RISO",-0.00128053196837479,0.000329754360890067,-0.00140177254821904,-0.00077529473748919
"ERR9709212","RISO",-1.74498569760381e-05,-0.000539941469689733,-0.000284762790693944,0.00104545180794271
"ERR9709213","MÅSE",-0.000695300291357333,-0.000567385448719915,0.000289299482928691,-0.00025214065455998
"ERR9709214","MÅSE",-0.00147388089511436,0.000364978689274593,0.00102182446052934,-0.000564375346829942
"ERR9709215","MÅSE",-0.00128421881711122,0.000269123534839525,-1.36143085513238e-05,0.000943401912679456
"ERR9709216","KALI",0.00203543685013679,-0.000147766959856857,3.26477672866288e-05,0.000403850327267734
"ERR9709217","KALI",0.00151276085720453,9.57548384996692e-06,-0.000470596242903563,0.00075567733506519
"ERR9709218","KALI",0.000936580481501281,0.000932768793898439,-0.000125155290451306,0.000149501699469353
"ERR9709219","KALM",0.000792197536827986,0.00052109779886803,-0.000621688757174587,0.00067723568233242
"ERR9709220","KALM",2.5007513321157e-05,0.00169430134686359,0.000909790226805954,0.000318057493449133
"ERR9709221","KALM",0.000461698596280374,0.000474238414853711,-0.000374407999471137,0.000379009897367682
"ERR9709222","IDEI",-0.00046829110795538,0.000163561697622831,-2.34021242805756e-05,9.27098444668373e-05
"ERR9709223","IDEI",-0.000579771459912977,0.000316351768819894,-0.000136303677428511,0.00026719167972766
"ERR9709224","IDEI",0.000159334436053013,1.10996562233767e-05,-0.000116927352453851,0.0014116298400711
"ERR9709225","BLEK",0.00101754648127507,0.000440033154829002,0.00091931308962019,-0.00113579976976967
"ERR9709226","BLEK",0.000496923975829965,-6.42132037055013e-06,-0.000459937887524689,0.000513265622204807
"ERR9709227","BLEK",0.000325377960495119,0.000490866207111801,0.000483181667945376,0.000481459828746418
"ERR9709228","IDEO",-0.000112759683844776,-0.00105717910984089,0.000278220471758074,0.00078052548582746
"ERR9709229","IDEO",-0.000242508331442433,1.22446518087871e-05,-2.98431145202362e-06,3.55357761607124e-05
"ERR9709230","IDEO",0.00105265140857358,-0.00144527455206601,2.90061507388449e-05,-0.000625566897910796
"ERR9709231","MÅSE",0.00012364960468337,-0.000963569649346411,0.000663801494587464,0.00164869488724826
"ERR9709234","MÅSE",-0.000423441609573526,-0.00102941965718363,0.000629475078671952,-0.000685228326284018
"ERR9709235","RISO",-0.000461058112564343,-0.000478967282840103,0.000632094410547972,-0.000788475064204434
"ERR9709236","RISO",-0.0014328046139115,-0.000396936742516684,0.00103373046052274,-0.000531058033387688
"ERR9709238","IDEO",-0.00033620739774387,-0.000758254534824688,0.000723635208302343,-0.000411424924261129
"ERR9709240","KALM",0.000432616354101831,0.000668288473104053,0.000773903848465411,-0.000465322661832273
"ERR9709241","KARM",-8.67852542624533e-05,-0.000484634820098507,-0.00133127303381878,-0.00085638354863944
"ERR9709242","KALI",0.0014725054101113,0.000148901134039869,1.3625193111213e-05,-0.00145301695790842
"ERR9709243","KALI",0.0014469257618711,0.0004134042576914,5.65195514589877e-05,-0.000665630180924002
"ERR9709244","KALI",0.000575055625683381,0.00120473316596538,0.000765806114223204,-0.000619572294732462
"ERR9709245","BLEK",0.00106003871089416,0.0005988165630141,-0.000527152231011964,0.00114819576319755
"ERR9709246","BLEK",0.000535147811091599,0.000916634931124936,0.000668240621230077,-0.000848926438683255
"ERR9709247","BLEK",-0.000708298927907322,0.00158235743727074,-0.000234617030475256,0.000395484006398023
"ERR9709248","IDEI",0.000787288061610805,-0.00195521116158737,0.000465811375739846,0.000190079676971199
"ERR9709249","IDEI",-0.00131614312398719,0.000247115326981478,0.000929454738110058,0.00056484453143544
"ERR9709251","IDEO",0.000181960989262433,-0.000205562103553055,0.000492904017273244,-0.000415239634376181
"ERR9709252","RISO",-0.000734991749437412,-0.000168663176956858,7.88349175466109e-05,-9.29961108972989e-05
"ERR9709253","RISO",-0.00131485656696859,-0.000164191034769457,0.000264179505059048,0.000268977626864115
